,company_name,address,category,telephon
0,الجمهورية للتسويق العقارى,18 ب ش احمد حشمت  الزمالك  القاهرة.,عقار,+201288818000
1,لافيتا العقارية,34 ش مكرم عبيد  الدور 7  مدينة نصر  القاهرة.,عقار,17137 
2,لافيتا العقارية,34 ش مكرم عبيد  الدور 7  مدينة نصر  القاهرة.,عقار, +20222726067 
3,لافيتا العقارية,34 ش مكرم عبيد  الدور 7  مدينة نصر  القاهرة.,عقار, +201274444949
4,الحمصاني للخبرة والتثمين والتقييم العقارى - د. حسين الحمصانى,184 عمارات البنفسج  التجمع الخامس  القاهرة الجديدة  القاهرة.,مقيم عقارات,+201001400122 
5,الحمصاني للخبرة والتثمين والتقييم العقارى - د. حسين الحمصانى,184 عمارات البنفسج  التجمع الخامس  القاهرة الجديدة  القاهرة.,مقيم عقارات, +20235623275
6,شركة دار الهنا للانشاءات والتجارة,58 عمارة حسين صدقى ش مصر حلوان الزراعى  الشقة 14  الدور 1  المعادى  القاهرة.,انشاءات,+201554202859 
7,شركة دار الهنا للانشاءات والتجارة,58 عمارة حسين صدقى ش مصر حلوان الزراعى  الشقة 14  الدور 1  المعادى  القاهرة.,انشاءات, +201001002441 
8,شركة دار الهنا للانشاءات والتجارة,58 عمارة حسين صدقى ش مصر حلوان الزراعى  الشقة 14  الدور 1  المعادى  القاهرة.,انشاءات, +201064141413 
9,شركة دار الهنا للانشاءات والتجارة,58 عمارة حسين صدقى ش مصر حلوان الزراعى  الشقة 14  الدور 1  المعادى  القاهرة.,انشاءات, +201113378661
10,الفهد كمبانى,5 ز/2 ش شوقى عبد المنعم  متفرع من ش النصر - تقسيم اللاسلكى  المعادى الجديدة  المعادى  القاهرة.,تسويق عقارى,+201000554432 
11,الفهد كمبانى,5 ز/2 ش شوقى عبد المنعم  متفرع من ش النصر - تقسيم اللاسلكى  المعادى الجديدة  المعادى  القاهرة.,تسويق عقارى, +201027999696 
12,الفهد كمبانى,5 ز/2 ش شوقى عبد المنعم  متفرع من ش النصر - تقسيم اللاسلكى  المعادى الجديدة  المعادى  القاهرة.,تسويق عقارى, +20227547313
13,تراث للانشاءات والتنمية العمرانية والاستشارات الهندسية - م. سامى نجم,2 عمارات نيركو - الشطر الخامس  زهراء المعادى  المعادى  القاهرة.,,+20225200659 
14,تراث للانشاءات والتنمية العمرانية والاستشارات الهندسية - م. سامى نجم,2 عمارات نيركو - الشطر الخامس  زهراء المعادى  المعادى  القاهرة.,, +201066647002 
15,تراث للانشاءات والتنمية العمرانية والاستشارات الهندسية - م. سامى نجم,2 عمارات نيركو - الشطر الخامس  زهراء المعادى  المعادى  القاهرة.,, +201066647000 
16,تراث للانشاءات والتنمية العمرانية والاستشارات الهندسية - م. سامى نجم,2 عمارات نيركو - الشطر الخامس  زهراء المعادى  المعادى  القاهرة.,, +201061631166
17,شركة البناء الحديث للمقاولات والاستثمار العقارى,35 ش عبد العزيز عيسى - المنطقة التاسعة  مدينة نصر  القاهرة.,,+201276880148 
18,شركة البناء الحديث للمقاولات والاستثمار العقارى,35 ش عبد العزيز عيسى - المنطقة التاسعة  مدينة نصر  القاهرة.,, +20224733202 
19,شركة البناء الحديث للمقاولات والاستثمار العقارى,35 ش عبد العزيز عيسى - المنطقة التاسعة  مدينة نصر  القاهرة.,, +20224733201 
20,شركة البناء الحديث للمقاولات والاستثمار العقارى,35 ش عبد العزيز عيسى - المنطقة التاسعة  مدينة نصر  القاهرة.,, +201003260425
21,شركة ميرميد للقرى السياحية,110 ش الميرغنى تقاطع ش الثورة  مصر الجديدة  القاهرة.,,16003 
22,شركة ميرميد للقرى السياحية,110 ش الميرغنى تقاطع ش الثورة  مصر الجديدة  القاهرة.,, +20226909521 
23,شركة ميرميد للقرى السياحية,110 ش الميرغنى تقاطع ش الثورة  مصر الجديدة  القاهرة.,, +20226909520 
24,شركة ميرميد للقرى السياحية,110 ش الميرغنى تقاطع ش الثورة  مصر الجديدة  القاهرة.,, +20224146259 
25,شركة ميرميد للقرى السياحية,110 ش الميرغنى تقاطع ش الثورة  مصر الجديدة  القاهرة.,, +20226901906 
26,شركة ميرميد للقرى السياحية,110 ش الميرغنى تقاطع ش الثورة  مصر الجديدة  القاهرة.,, +20224146258
